,Nombre visible Agente,AGENTE (OFEI),CENTRAL,"Tipo de central (Hidro, Termo, Filo, Menor)"
32,EMGESA,EMGESA S.A.,BETANIA,H
33,EMGESA,EMGESA S.A.,BETANIA,H
34,EMGESA,EMGESA S.A.,BETANIA,H
49,EMGESA,EMGESA S.A.,CTGEMG1,T
50,EMGESA,EMGESA S.A.,CTGEMG2,T
51,EMGESA,EMGESA S.A.,CTGEMG3,T
90,EMGESA,EMGESA S.A.,ELQUIMBO,H
91,EMGESA,EMGESA S.A.,ELQUIMBO,H
120,EMGESA,EMGESA S.A.,GUAVIO,H
121,EMGESA,EMGESA S.A.,GUAVIO,H
122,EMGESA,EMGESA S.A.,GUAVIO,H
123,EMGESA,EMGESA S.A.,GUAVIO,H
124,EMGESA,EMGESA S.A.,GUAVIO,H
148,EMGESA,EMGESA S.A.,PAGUA,H
149,EMGESA,EMGESA S.A.,PAGUA,H
150,EMGESA,EMGESA S.A.,PAGUA,H
188,EMGESA,EMGESA S.A.,PAGUA,H
189,EMGESA,EMGESA S.A.,PAGUA,H
190,EMGESA,EMGESA S.A.,PAGUA,H
299,EMGESA,EMGESA S.A.,ZIPAEMG2,T
300,EMGESA,EMGESA S.A.,ZIPAEMG3,T
301,EMGESA,EMGESA S.A.,ZIPAEMG4,T
302,EMGESA,EMGESA S.A.,ZIPAEMG5,T
